39	100023,100197,100007,100197,100002,100197,100013	100002
39	100197,100002,100026,100197,100007,100026,100197,100002,100197,100002,100009,100056,100011,100013,100009,100007,100013,100009,100218	100009,100038,100077
39	100063,100009,100007,100197,100020,100063,100002,100009,100009,100056	100007,100026
39	100009,100007,100197,100012,100197,100013,100001	100197,100025
39	100007,100197,100115,100013,100011,100042,100197,100013,100009,100026,100009,100025	100026,100007
39	100007,100035,100013,100002,100197,100023,100197,100002,100063,100009,100056,100009,100039,100042,100026,100043	100013,100002
39	100197,100013,100002	100009,100013,100007
39	100197,100007,100197,100058,100009,100042,100038,100013,100009,100056	100009,100025
39	100013,100007,100197,100002,100009,100056	100042,100043
39	100197,100197,100013,100197,100091	100197,100002
39	100197,100026,100007,100009,100056,100159,100027,100282	100023,100013
39	100002,100009,100002,100002,100013,100197,100002,100197,100007,100197,100002,100009,100039,100026,100070,100011,100013,100002	100025
39	100011,100011,100009,100023,100013,100026,100197,100224,100025,100009,100002,100001	100009,100043
39	100002	100009,100031,100038,100013
39	100009,100002,100197,100042,100002,100013,100197,100007,100013,100007	100009,100011
39	100013	100197,100007
39	100197,100007,100197,100002,100197,100206,100007,100026,100013,100009,100179,100110	100002
39	100007,100009,100056,100009,100056	100009,100013,100253
39	100009,100197,100011,100013,100197,100038,100197,100002,100007	100197,100038
39	100009,100136,100197,100026,100195	100009,100007,100063,100039
39	100197,100002,100013,100197,100013,100002,100007,100002	100009,100007,100013,100038
39	100009,100063,100197,100007	100002
64	100022,100063,100197,100197,100026,100051,100197,100011,100009,100048,100197,100026,100051,100013,100007	100009,100056,100021,100002
207	100073,100053,100062,100035,100007,100009	100197
207	100009	100009,100056
207	100007,100007	100197
207	100010,100009	100009
207	100028	100197
207	100007,100049,100133,100010,100009,100197	100197
207	100011,100013,100021,100146,100009,100197,100197,100114,100013	100010
63	100012,100007,100009,100013,100031	100009,100044,100059,100030,100021,100031
63	100024,100146,100010	100007
178	100002,100007,100197	100197
110	100046,100052,100009,100285,100004,100026,100025,100009,100197,100013,100011,100044,100024,100197	100197
118	100009,100012	100009,100024,100026
38	100034,100082	100009
38	100009,100117,100009,100031,100117,100034	100009,100018
38	100197,100197,100007,100087,100009,100125	100009,100007
38	100037	100087
38	100197,100031,100007	100197,100012
38	100012,100012,100026,100015	100180,100044,100026
38	100012,100082,100082,100009,100160,100009	100082
178	100114,100191,100007,100010,100088	100191,100088
207	100032	100009
207	100038,100073,100044,100069,100099	100059,100093,100043
207	100060,100032,100069,100088,100044,100099	100034,100008
16	100015,100059,100073	100023,100011
16	100030,100197	100197
270	100009,100026,100304,100051,100197	100197
77	100060	100197,100143,100010,100065,100064,100135,100069,100021,100063
178	100036,100002,100007	100081
110	100012,100002	100009,100012
110	100009,100009,100026,100051,100056,100009	100197,100012
110	100009,100252,100044,100197,100007,100012,100007,100051,100009,100282,100031,100009,100197,100013,100011,100056	100197,100109,100110
207	100010,100007,100005,100032,100009,100007,100010,100009,100197,100041,100011,100009,100009,100012,100007,100009,100013,100009,100009,100009,100009,100009,100009,100009,100196,100009,100009,100031,100009,100009,100056,100088,100197,100197,100197	100197,100024
227	100023,100215,100177,100059,100021,100013,100030,100060,100031,100056,100084,100006,100184,100065,100041,100056,100134,100197,100010,100007,100197,100089,100297,100009,100174,100068,100041,100056,100009,100010,100009,100009,100026,100062,100177,100009,100015,100009,100021,100011,100063,100009,100009,100041,100012,100009,100197,100012,100197,100007,100056,100197,100205,100010,100038	100197
207	100009,100197,100197	100009
207	100007,100197	100197
207	100007,100009,100009	100197,100077,100269
227	100197,100011,100032,100038,100138,100009,100031,100269,100009,100091,100009,100015,100009,100041,100009,100212,100056,100197,100031,100007,100116,100013	100197,100056
207	100197,100197,100007,100027,100100,100009,100197,100197,100197,100009,100009,100009,100017,100012,100009,100019,100009,100056,100085	100197,100007,100059
39	100002,100038,100197,100007	100042,100043,100063,100002
39	100197,100013	100002
39	100013,100197,100042,100065,100009,100067	100009,100218
39	100007,100197,100270,100197,100025	100197,100022,100013
39	100009,100007,100063,100197,100197,100007	100009,100056,100038
39	100197,100002,100197,100026	100009,100013,100007
39	100197,100007	100009,100056
39	100009,100063,100009,100020,100016,100197,100197,100002,100001,100009,100056,100009,100007,100013,100038	100007
39	100197,100038,100130,100011,100009,100038,100197,100013	100197,100025
39	100009,100007,100197,100002,100007,100009,100013,100197,100002,100026,100009	100013,100038
39	100009,100013,100197,100007,100197,100007	100022,100013
39	100197,100026,100197,100007,100009,100056,100009,100002,100197,100044,100026,100042,100065	100009
39	100023,100009,100197,100042,100138,100009,100265,100253,100026,100197,100002,100009,100193,100197,100007,100013,100012	100197,100038
227	100009,100197,100197,100197,100197,100269,100041,100065,100205,100056,100197,100177,100002,100009,100007,100009,100023,100022,100011,100197,100031,100063,100013,100020,100059,100099,100168,100009,100056,100009,100002,100009,100041,100065,100269,100205,100056,100009,100012,100009,100013,100056,100285,100079	100197,100007
110	100197,100012,100009,100017,100197,100007,100011,100013	100197,100012
